Sl. No.,"Flight
No.","Operator
Code","Aircraft
Type",Frequency,"Arrival
from","Arrival
Time","Departure
to","Departure
Time","Effective
from","Effective
to"
Agatti,,,,,,,,,,
1,9I 505,AAS,ATR 72,2,COK,9:15,,,26-Nov-19,24-Mar-20
2,9I 506,AAS,ATR 72,2,,,BLR,9:40,26-Nov-19,24-Mar-20
3,9I 505,AAS,ATR 72,134567,COK,10:05,,,27-Oct-19,18-Nov-19
4,9I 505,AAS,ATR 72,134567,COK,10:05,,,20-Nov-19,28-Mar-20
5,9I 506,AAS,ATR 72,134567,,,BLR,10:30,20-Nov-19,28-Mar-20
6,9I 506,AAS,ATR 72,134567,,,COK,10:30,27-Oct-19,18-Nov-19
7,9I 505,AAS,ATR 72,2,COK,11:25,,,29-Oct-19,19-Nov-19
8,9I 506,AAS,ATR 72,2,,,COK,12:00,29-Oct-19,19-Nov-19
Agra,,,,,,,,,,
1,9I 687,AAS,ATR 72,1246,JAI,8:30,,,29-Oct-19,28-Mar-20
2,9I 688,AAS,ATR 72,1246,,,JAI,8:55,29-Oct-19,28-Mar-20
Ahmedabad,,,,,,,,,,
1,9I 873,AAS,ATR 72,123456,ISK,9:35,,,28-Oct-19,28-Mar-20
2,9I 873,AAS,ATR 72,123456,,,IXY,10:05,28-Oct-19,28-Mar-20
3,9I 874,AAS,ATR 72,123456,IXY,12:45,,,28-Oct-19,28-Mar-20
4,9I 874,AAS,ATR 72,123456,,,ISK,13:10,28-Oct-19,28-Mar-20
Allahabad,,,,,,,,,,
1,9I 603,AAS,ATR 72,Daily,DEL,14:50,,,27-Oct-19,30-Nov-19
2,9I 603,AAS,ATR 72,Daily,DEL,14:50,,,1-Dec-19,15-Feb-20
3,9I 603,AAS,ATR 72,Daily,DEL,14:50,,,16-Feb-20,28-Mar-20
4,9I 604,AAS,ATR 72,Daily,,,DEL,15:15,27-Oct-19,30-Nov-19
5,9I 604,AAS,ATR 72,Daily,,,DEL,15:15,1-Dec-19,15-Feb-20
6,9I 604,AAS,ATR 72,Daily,,,DEL,15:15,16-Feb-20,28-Mar-20
Amritsar,,,,,,,,,,
1,9I 615,AAS,ATR 72,Daily,DEL,20:45,,,27-Oct-19,28-Mar-20
2,9I 616,AAS,ATR 72,Daily,,,DEL,21:15,27-Oct-19,28-Mar-20
Bangalore,,,,,,,,,,
1,9I 505,AAS,ATR 72,2,,,COK,6:05,25-Nov-19,28-Mar-20
2,9I 505,AAS,ATR 72,14567,,,COK,6:55,27-Oct-19,28-Mar-20
3,9I 505,AAS,ATR 72,3,,,COK,6:55,27-Oct-19,28-Mar-20
4,9I 505,AAS,ATR 72,2,,,COK,8:15,27-Oct-19,18-Nov-19
5,9I 506,AAS,ATR 72,2,AGX,11:40,,,26-Nov-19,28-Mar-20
