Sl. No.,Flight No.,Operator Code,Aircraft Type,Frequency,Arrival from,Arrival Time,"Departur e
to",Departure Time,Effective from,Effective to
Ahmedabad,,,,,,,,,,
1,DN 401,DN,BEH,234567,,,BHU,6:50,27-10-19,28-03-20
2,DN 402,DN,BEH,123456,BHU,10:40,,,27-10-19,28-03-20
3,DN 405,DN,BEH,123456,,,MDA,11:10,27-10-19,28-03-20
4,DN 406,DN,BEH,123456,MDA,13:15,,,27-10-19,28-03-20
5,DN 407,DN,BEH,123456,,,DIU,13:35,27-10-19,28-03-20
6,DN 408,DN,BEH,123456,DIU,16:40,,,27-10-19,28-03-20
7,DN 409,DN,BEH,123456,,,IDR,17:15,27-10-19,28-03-20
8,DN 410,DN,BEH,123456,IDR,19:55,,,27-10-19,28-03-20
Bhavnagar,,,,,,,,,,
1,DN 401,DN,BEH,123456,AMD,8:10,,,27-10-19,28-03-20
2,DN 401,DN,BEH,123456,,,STV,8:40,27-10-19,28-03-20
3,DN 402,DN,BEH,123456,STV,9:40,,,27-10-19,28-03-20
4,DN 402,DN,BEH,123456,,,AMD,10:00,27-10-19,28-03-20
Diu,,,,,,,,,,
1,DN 407,DN,BEH,123456,AMD,15:00,,,27-10-19,28-03-20
2,DN 408,DN,BEH,123456,,,AMD,15:30,27-10-19,28-03-20
Indore,,,,,,,,,,
1,DN 409,DN,BEH,123456,AMD,18:15,,,27-10-19,28-03-20
2,DN 410,DN,BEH,123456,,,AMD,18:40,27-10-19,28-03-20
Surat,,,,,,,,,,
1,DN 401,DN,BEH,123456,BHU,8:40,,,27-10-19,28-03-20
2,DN 402,DN,BEH,123456,,,BHU,9:10,27-10-19,28-03-20
