Sl. No.,Flight No.,Operator Code,Aircraft Type,Frequency,Arrival from,Arrival Time,Departure to,Departure Time,Effective from,Effective to
Chandigarh,,,,,,,,,,
1938,PH 101,PH,Dauphin SA 365 N,123456,,,SLV,10:00,28-10-19,28-03-20
1989,PH 102,PH,Dauphin SA 365 N,123456,SLV,13:45,,,28-10-19,27-03-20
Dharamshala,,,,,,,,,,
4521,PH 101,PH,Dauphin SA 365 N,234,SLV,11:45,,,29-10-19,26-03-20
4522,PH 102,PH,Dauphin SA 365 N,234,,,SLV,12:05,29-10-19,26-03-20
Kullu,,,,,,,,,,
7231,PH 101,PH,Dauphin SA 365 N,156,SLV,11:40,,,28-10-19,28-03-20
7232,PH 102,PH,Dauphin SA 365 N,156,,,SLV,12:00,28-10-19,28-03-20
Shimla,,,,,,,,,,
9204,PH 101,PH,Dauphin SA 365 N,234,IXC,10:30,,,29-10-19,26-03-20
9205,PH 101,PH,Dauphin SA 365 N,156,IXC,10:30,,,28-10-19,28-03-20
9206,PH 101,PH,Dauphin SA 365 N,234,,,DHM,10:50,29-10-19,26-03-20
9207,PH 101,PH,Dauphin SA 365 N,156,,,KUU,10:50,28-10-19,28-03-20
9208,PH 102,PH,Dauphin SA 365 N,156,KUU,12:55,,,28-10-19,23-03-20
9209,PH 102,PH,Dauphin SA 365 N,234,DHM,13:00,,,29-10-19,26-03-20
9210,PH 102,PH,Dauphin SA 365 N,234,,,IXC,13:15,29-10-19,26-03-20
9211,PH 102,PH,Dauphin SA 365 N,156,,,IXC,13:15,28-10-19,23-03-20
