Sl. No.,"Flight
No.","Operator
Code","Aircraft
Type",Frequency,"Arrival
from","Arrival
Time","Departure
to","Departure
Time","Effective
from","Effective
to"
Ahmedabad,,,,,,,,,,
1,OG 107,OG,ER4,356,IXG,9:10,,,30-10-19,28-03-20
2,OG 108,OG,ER4,356,,,IXG,9:30,30-10-19,28-03-20
3,OG 107,OG,ER4,124,IXG,10:45,,,28-10-19,26-03-20
4,OG 108,OG,ER4,124,,,IXG,11:15,28-10-19,26-03-20
5,OG 107,OG,ER4,7,IXG,16:25,,,27-10-19,22-03-20
6,OG 108,OG,ER4,7,,,IXG,16:50,27-10-19,22-03-20
Bangalore,,,,,,,,,,
1,OG 105,OG,ER4,4,,,IXG,7:35,27-10-19,28-03-20
2,OG 105,OG,ER4,1,,,IXG,7:35,27-10-19,28-03-20
3,OG 101,OG,ER4,6,,,HBX,10:30,27-10-19,28-03-20
4,OG 101,OG,ER4,4,,,HBX,11:45,27-10-19,28-03-20
5,OG 101,OG,ER4,3,,,HBX,11:45,27-10-19,28-03-20
6,OG 101,OG,ER4,7,,,HBX,15:30,27-10-19,28-03-20
7,OG 101,OG,ER4,15,,,HBX,15:30,27-10-19,28-03-20
8,OG 101,OG,ER4,2,,,HBX,16:10,27-10-19,28-03-20
9,OG 106,OG,ER4,3,IXG,16:30,,,27-10-19,28-03-20
10,OG 102,OG,ER4,6,HBX,19:15,,,27-10-19,28-03-20
11,OG 106,OG,ER4,7,IXG,20:05,,,27-10-19,28-03-20
12,OG 102,OG,ER4,5,HBX,20:25,,,27-10-19,28-03-20
13,OG 102,OG,ER4,3,HBX,20:25,,,27-10-19,28-03-20
14,OG 102,OG,ER4,47,HBX,20:25,,,27-10-19,28-03-20
15,OG 102,OG,ER4,1,HBX,20:25,,,27-10-19,28-03-20
16,OG 102,OG,ER4,2,HBX,21:05,,,27-10-19,28-03-20
Belgaum,,,,,,,,,,
1,OG 107,OG,ER4,6,,,AMD,7:40,02-11-19,28-03-20
2,OG 107,OG,ER4,35,,,AMD,7:40,30-10-19,27-03-20
3,OG 105,OG,ER4,14,BLR,8:45,,,28-10-19,26-03-20
4,OG 107,OG,ER4,14,,,AMD,9:05,28-10-19,26-03-20
5,OG 107,OG,ER4,2,,,AMD,9:05,29-10-19,24-03-20
6,OG 108,OG,ER4,356,AMD,11:00,,,30-10-19,25-03-20
7,OG 111,OG,ER4,7,,,BOM,11:55,03-11-19,22-03-20
8,OG 111,OG,ER4,356,,,BOM,11:55,30-10-19,25-03-20
9,OG 108,OG,ER4,24,AMD,12:45,,,29-10-19,26-03-20
10,OG 108,OG,ER4,1,AMD,12:45,,,28-10-19,23-03-20
11,OG 112,OG,ER4,7,BOM,14:40,,,27-10-19,22-03-20
12,OG 112,OG,ER4,6,BOM,14:40,,,02-11-19,21-03-20
13,OG 112,OG,ER4,5,BOM,14:40,,,01-11-19,27-03-20
14,OG 112,OG,ER4,3,BOM,14:40,,,30-10-19,25-03-20
15,OG 107,OG,ER4,7,,,AMD,15:00,27-10-19,22-03-20
16,OG 106,OG,ER4,3,,,BLR,15:20,30-10-19,25-03-20
17,OG 108,OG,ER4,7,AMD,18:30,,,27-10-19,22-03-20
18,OG 106,OG,ER4,7,,,BLR,19:00,27-10-19,22-03-20
Hindon,,,,,,,,,,
1,OG 114,OG,ER4,6,HBX,14:30,,,02-11-19,28-03-20
2,OG 115,OG,ER4,6,,,HBX,15:00,02-11-19,28-03-20
3,OG 114,OG,ER4,34,HBX,15:45,,,30-10-19,26-03-20
4,OG 115,OG,ER4,34,,,HBX,16:10,30-10-19,26-03-20
Hubli,,,,,,,,,,
1,OG 101,OG,ER4,6,BLR,11:30,,,02-11-19,28-03-20
2,OG 114,OG,ER4,6,,,Hindon,11:50,02-11-19,28-03-20
3,OG 101,OG,ER4,34,BLR,12:45,,,30-10-19,26-03-20
4,OG 114,OG,ER4,34,,,Hindon,13:05,30-10-19,26-03-20
5,OG 101,OG,ER4,157,BLR,16:30,,,27-10-19,27-03-20
6,OG 103,OG,ER4,157,,,TIR,16:50,27-10-19,27-03-20
7,OG 101,OG,ER4,2,BLR,17:10,,,29-10-19,24-03-20
8,OG 103,OG,ER4,2,,,TIR,17:30,29-10-19,24-03-20
9,OG 115,OG,ER4,6,Hindon,17:40,,,02-11-19,28-03-20
10,OG 102,OG,ER4,6,,,BLR,18:10,02-11-19,28-03-20
11,OG 115,OG,ER4,34,Hindon,18:50,,,30-10-19,26-03-20
12,OG 104,OG,ER4,157,TIR,19:10,,,27-10-19,27-03-20
13,OG 102,OG,ER4,346,TIR,19:20,,,30-10-19,28-03-20
14,OG 102,OG,ER4,34,,,BLR,19:20,30-10-19,26-03-20
15,OG 102,OG,ER4,157,,,BLR,19:30,27-10-19,27-03-20
16,OG 104,OG,ER4,346,,,BLR,19:40,30-10-19,28-03-20
17,OG 104,OG,ER4,2,TIR,19:50,,,29-10-19,24-03-20
18,OG 102,OG,ER4,2,,,BLR,20:15,29-10-19,24-03-20
Indore,,,,,,,,,,
1,OG 117,OG,ER4,124,IXG,14:40,,,28-10-19,26-03-20
2,OG 121,OG,ER4,124,,,KQH,15:05,28-10-19,26-03-20
3,OG 122,OG,ER4,124,KQH,17:45,,,28-10-19,26-03-20
4,OG 118,OG,ER4,124,,,IXG,18:05,28-10-19,26-03-20
Mumbai,,,,,,,,,,
1,OG 111,OG,ER4,3567,IXG,13:05,,,27-10-19,28-03-20
2,OG 112,OG,ER4,3567,,,IXG,13:35,27-10-19,28-03-20
Tirupathi,,,,,,,,,,
1,OG 103,OG,ER4,157,HBX,17:50,,,27-10-19,27-03-20
2,OG 103,OG,ER4,346,HBX,18:00,,,30-10-19,28-03-20
3,OG 104,OG,ER4,157,,,HBX,18:10,27-10-19,27-03-20
4,OG 104,OG,ER4,346,,,HBX,18:20,30-10-19,28-03-20
5,OG 103,OG,ER4,2,HBX,18:30,,,29-10-19,24-03-20
6,OG 104,OG,ER4,2,,,HBX,18:50,29-10-19,24-03-20
