Sl. No.,Flight No.,Operator Code,Aircraft Type,Frequency,Arrival from,Arrival Time,Departure to,Departure Time,Effective from,Effective to
Ahmedabad,,,,,,,,,,
1,2T 173,TRJ,ATR 72,Daily,,,IDR,5:45,27-10-19,28-03-20
2,2T 705,TRJ,ATR 72,Daily,,,PBD,6:55,27-10-19,28-03-20
3,2T 174,TRJ,ATR 72,Daily,IDR,8:25,,,27-10-19,28-03-20
4,2T 713,TRJ,ATR 72,Daily,,,JLG,9:10,27-10-19,28-03-20
5,2T 706,TRJ,ATR 72,7,PBD,9:30,,,27-10-19,22-03-20
6,2T 706,TRJ,ATR 72,123456,PBD,9:30,,,28-10-19,28-03-20
7,2T 703,TRJ,ATR 72,123456,,,JSA,10:00,28-10-19,28-03-20
8,2T 714,TRJ,ATR 72,15,JLG,13:00,,,28-10-19,27-03-20
9,2T 704,TRJ,ATR 72,123456,JSA,14:20,,,28-10-19,28-03-20
10,2T 711,TRJ,ATR 72,7,,,IXY,15:05,27-10-19,22-03-20
11,2T 711,TRJ,ATR 72,123456,,,IXY,15:05,28-10-19,28-03-20
12,2T 171,TRJ,ATR 72,15,,,IDR,15:50,28-10-19,27-03-20
13,2T 712,TRJ,ATR 72,Daily,IXY,17:20,,,27-10-19,28-03-20
14,2T 707,TRJ,ATR 72,Daily,,,ISK,17:50,27-10-19,28-03-20
15,2T 172,TRJ,ATR 72,15,IDR,18:30,,,28-10-19,27-03-20
16,2T 714,TRJ,ATR 72,23467,JLG,18:30,,,27-10-19,28-03-20
17,2T 183,TRJ,ATR 72,23467,,,IXU,19:00,27-10-19,28-03-20
18,2T 183,TRJ,ATR 72,15,,,IXU,19:00,28-10-19,27-03-20
19,2T 708,TRJ,ATR 72,Daily,ISK,20:25,,,27-10-19,28-03-20
20,2T 175,TRJ,ATR 72,Daily,,,IDR,21:00,27-10-19,28-03-20
21,2T 184,TRJ,ATR 72,Daily,IXU,22:30,,,27-10-19,27-03-20
22,2T 176,TRJ,ATR 72,Daily,IDR,23:40,,,27-10-19,27-03-20
Aurangabad,,,,,,,,,,
1,2T 211,TRJ,ATR 72,Daily,HYD,16:35,,,27-10-19,28-03-20
2,2T 212,TRJ,ATR 72,Daily,,,HYD,16:55,27-10-19,28-03-20
3,2T 183,TRJ,ATR 72,Daily,AMD,20:30,,,27-10-19,28-03-20
4,2T 184,TRJ,ATR 72,Daily,,,AMD,20:55,27-10-19,28-03-20
Bangalore,,,,,,,,,,
1,2T 109,TRJ,ATR 72,Daily,HYD,6:55,,,01-12-19,28-03-20
2,2T 625,TRJ,ATR 72,Daily,,,BDR,7:25,01-12-19,28-03-20
3,2T 626,TRJ,ATR 72,2,BDR,11:05,,,03-12-19,28-03-20
4,2T 110,TRJ,ATR 72,2,,,HYD,11:35,03-12-19,28-03-20
5,2T 626,TRJ,ATR 72,134567,BDR,11:40,,,01-12-19,28-03-20
6,2T 110,TRJ,ATR 72,134567,,,HYD,12:10,01-12-19,28-03-20
