Sl. No.,"Flight
No.","Operator
Code","Aircraft
Type",Frequency,"Arrival
from","Arrival
Time","Departure
to","Departure
Time","Effective
from","Effective
to"
Ahmedabad,,,,,,,,,,
1,UK 939,UK,A 320,Daily,DEL,6:25,,,25-Nov-2019,28-Mar-2020
2,UK 936,UK,A 320,Daily,,,DEL,7:05,25-Nov-2019,28-Mar-2020
3,UK 959,UK,A 320,Daily,DEL,8:00,,,27-Oct-2019,28-Mar-2020
4,UK 946,UK,A 320,Daily,,,DEL,8:40,27-Oct-2019,28-Mar-2020
5,UK 979,UK,A 320,123456,DEL,10:20,,,28-Oct-2019,28-Mar-2020
6,UK 976,UK,A 320,123456,,,DEL,10:55,28-Oct-2019,28-Mar-2020
7,UK 969,UK,A 320,Daily,DEL,19:40,,,27-Oct-2019,28-Mar-2020
8,UK 966,UK,A 320,Daily,,,DEL,20:15,27-Oct-2019,28-Mar-2020
Amritsar,,,,,,,,,,
1,UK 691,UK,A 320,Daily,DEL,12:50,,,27-Oct-2019,28-Mar-2020
2,UK 508,UK,A 320,Daily,,,DEL,13:25,27-Oct-2019,28-Mar-2020
3,UK 976,UK,A 320,Daily,DEL,14:50,,,27-Oct-2019,28-Mar-2020
4,UK 507,UK,A 320,Daily,DEL,15:05,,,27-Oct-2019,28-Mar-2020
5,UK 997,UK,A 320,Daily,,,DEL,15:25,27-Oct-2019,28-Mar-2020
6,UK 692,UK,A 320,Daily,,,DEL,15:40,27-Oct-2019,28-Mar-2020
7,UK 695,UK,A 320,Daily,DEL,20:35,,,27-Oct-2019,28-Mar-2020
8,UK 694,UK,A 320,Daily,,,DEL,21:10,27-Oct-2019,28-Mar-2020
Bagdogra,,,,,,,,,,
1,UK 725,UK,A 320,Daily,DEL,9:45,,,27-Oct-2019,28-Mar-2020
2,UK 725,UK,A 320,Daily,,,DIB,10:20,27-Oct-2019,28-Mar-2020
3,UK 726,UK,A 320,Daily,DIB,13:35,,,27-Oct-2019,28-Mar-2020
4,UK 726,UK,A 320,Daily,,,DEL,14:10,27-Oct-2019,28-Mar-2020
Bangalore,,,,,,,,,,
1,UK 858,UK,A 320,Daily,,,BOM,6:40,27-Oct-2019,28-Mar-2020
2,UK 810,UK,A 320,Daily,,,DEL,7:00,27-Oct-2019,28-Mar-2020
3,UK 845,UK,B 738,Daily,BOM,7:35,,,27-Oct-2019,28-Mar-2020
